,,,,,,,
ISO 9001:2015 CERTIFIED,,,,,,,
CUSTOMS AND BORDER CONTROL DEPARTMENT,,,,,,,
MODEL,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,GVW,CRSP(KES) 
ALFA ROMEO,,,,,,,
,,,,,,,
118D E81 HAT N47 UB31 UB32,1995,SALOON,2WD,3DR,Diesel,,"3,982,608"
120i E81 HAT N46 UL51 UL52,1995,HATCHBACK,2WD,3DR,Petrol,,"5,302,611"
120i E82 COU N46 UC51 UC52,1995,Coupe,2WD,,Petrol,,"4,323,496"
120i N46 UD31 UD32,1995,SALOON,2WD,,Petrol,,"4,292,009"
120i N46 UA51 UA52,1995,SALOON,2WD,,Petrol,,"4,103,344"
120D N47 UM71 UM72,1995,SALOON,2WD,,Diesel,,"5,486,707"
120D N47 UMR1 UM32,1995,SALOON,2WD,,Diesel,,"4,673,835"
120D N47 UD91 UD92,1995,SALOON,2WD,,Diesel,,"4,476,227"
120D N47 UB51 UB52,1995,SALOON,2WD,,Diesel,,"4,286,800"
125i N52 UL91 UL92,2000,SALOON,2WD,,Petrol,,"6,219,475"
125i N52 UC31 UC32,2000,SALOON,2WD,,Petrol,,"5,345,196"
130i manual,3000,SALOON,2WD,,Petrol,,"5,429,253"
130i N52 UD51 UD52,3000,SALOON,2WD,,Petrol,,"5,809,902"
130i N52 UB11 UB12,3000,SALOON,2WD,,Petrol,,"5,613,888"
135i N55 UN71 UN72,3500,SALOON,2WD,,Petrol,,"8,122,829"
135i N54 UC71 UC72,3500,SALOON,2WD,,Petrol,,"7,307,383"
316i E90 LIM N45 PF11 PF12,1800,SALOON,2WD,,Petrol,,"4,347,624"
316i F30,1800,SALOON,2WD,,Petrol,,"6,350,729"
318i N46 PF71 PF72 Auto,1995,SALOON,2WD,,Petrol,,"4,819,206"
318i N46 PF71 PF72 Manual,1996,SALOON,2WD,,Petrol,,"4,347,624"
328i F30,2000,SALOON,2WD,,Petrol,,"7,056,365"
320i G20 LIM B48 5F32,1998,SALOON,2WD,,Petrol,,"7,055,668"
320d G20 LIM  B47 5V52,1995,SALOON,2WD,,Diesel,,"7,773,194"
330i G20 LIM B48 5R12,1998,SALOON,2WD,,Petrol,,"7,773,194"
320d,1995,SALOON,2WD,,Diesel,,"5,195,362"
320d N47 KK11 KK12,1995,SALOON,2WD,,Diesel,,"5,853,332"
320ed,1995,SALOON,2WD,,Diesel,,"5,195,362"
320i E93 CAB N46 DV31 DV32 CONVERTIBLE,1995,Coupe,2WD,,Petrol,,"6,617,948"
320i E92 COU N46 KD51 KD52,1995,Coupe,2WD,,Petrol,,"5,334,098"
320i E90 N46,1995,SALOON,2WD,,Petrol,,"4,653,929"
320i E90 N46,2170,SALOON,2WD,,Petrol,,"5,062,168"
320i F30,1995,SALOON,2WD,,Petrol,,"6,961,376"
320d F30,1995,SALOON,2WD,,Diesel,,"6,961,376"
320i F30,1995,S/WAGON,2WD,,Petrol,,"7,325,663"
325i manual,2497,SALOON,2WD,,Petrol,,"6,098,714"
325i auto,2500,SALOON,2WD,,Petrol,,"6,100,000"
325i N52 DW11 DW32,2500,SALOON,2WD,,Petrol,,"7,214,272"
325i N52 KE31 KE32,2500,SALOON,2WD,,Petrol,,"6,098,714"
325i N52 PH11 PH12,2500,SALOON,2WD,,Petrol,,"5,431,816"
325i N53 CONVERTIBLE,3000,SALOON,2WD,,Petrol,,"8,178,626"
330i  N52 DX31 DX32,2967,SALOON,2WD,,Petrol,,"7,983,593"
330i  N52 KG31 KG32,2967,SALOON,2WD,,Petrol,,"6,829,430"
330i  N52 PM31 PM32,2967,SALOON,2WD,,Petrol,,"6,104,987"
