,,,,,,,Discontinuation_Year
MAKE,Model,Engine Capacity,Body Type ,Drive configuration,seating,Fuel,Discontinuation_Year
FAW,CA1320 CEMENT MIXER J5P,,MIXER,6*4,,,Unknown
FAW,CA1311,240HP,TRK,8*4,,,Unknown
FAW,CA1311,280HP,TRK,8*4,,,Unknown
FAW,CA1083 TANKER,140HP,TRK,4*2,,,Unknown
FAW,CA1074 FBU,3857,BUS,4X2,,,Unknown
FAW,CA1074 CHASSIS CAB,3857,BUS,4X2,,,Unknown
FAW,CA6680,6842,BUS,4X2,54,,Unknown
FAW,CA1044,,BUS,,22,,Unknown
FAW,CA1081,,BUS,4X2,40-43,,Unknown
FAW,CA1083,,BUS,4X2,29-33,,Unknown
FAW,XQ6751TQ2 LUXURY BUS,,BUS,4X2,29,,Unknown
FAW,XQ6100MH2 LUXURY BUS,,BUS,4X2,45,,Unknown
FAW,CA6413 SIRUS,,SAL,2WD,,,Unknown
FAW,CA1170,,TRK,6X2,,,Unknown
